partition,in,out,red,T
Particion 1-1, 98.2456, 96.1268, 63.3333, 75.1480
Particion 1-2, 99.6479, 94.3860, 56.6667, 85.5597
Particion 2-1, 98.2456, 96.4789, 40.0000, 99.3445
Particion 2-2, 98.2394, 96.1404, 50.0000, 94.7399
Particion 3-1, 98.9474, 95.4225, 76.6667, 61.8672
Particion 3-2, 98.5916, 95.7895, 56.6667, 74.1304
Particion 4-1, 99.2982, 95.0704, 63.3333, 74.1902
Particion 4-2, 98.2394, 96.4912, 63.3333, 78.4645
Particion 5-1, 97.5439, 94.0141, 53.3333, 90.9550
Particion 5-2, 98.9437, 95.7895, 63.3333, 76.4177
Media, 98.5943, 95.5709, 58.6667, 81.0817
Max, 99.6479, 96.4912, 76.6667, 99.3445
Min, 97.5439, 94.0141, 40.0000, 61.8672
Desv. TÃ­pica,0.5874, 0.8063, 9.3333, 10.8002
